Filename	Temp	Meas	Abian	Curran	Galborg	Klippenstein	Krishana	Mevel	Polimi
x10010001     	1358.8	5.114E-04	0.000508627	0.000703623	4.65E-04	4.60E-04	4.17E-04	4.04E-04	5.67E-04
x10010001     	1397.1	2.756E-04	0.000359543	0.000489942	3.47E-04	3.32E-04	3.21E-04	2.75E-04	3.92E-04
x10010001     	1493.1	1.086E-04	0.000167953	0.000231115	1.85E-04	1.61E-04	1.80E-04	1.21E-04	1.81E-04
x10010001     	1508.8	9.820E-05	0.000150435	0.000207894	1.69E-04	1.45E-04	1.65E-04	1.08E-04	1.62E-04
x10010001     	1520.8	8.400E-05	0.000138641	0.000192235	1.58E-04	1.34E-04	1.54E-04	9.91E-05	1.49E-04
x10010001     	1615	4.590E-05	7.82757E-05	0.000110588	9.63E-05	7.70E-05	9.64E-05	5.37E-05	8.48E-05
x10010001     	1751.2	1.980E-05	4.02945E-05	5.64365E-05	5.12E-05	4.01E-05	5.22E-05	2.53E-05	4.34E-05
x10010001     	1836.5	1.350E-05	0.000028239	3.87348E-05	3.56E-05	2.82E-05	3.65E-05	1.67E-05	3.01E-05
x10010002     	1988.7	1.590E-05	2.68343E-05	3.31224E-05	3.37E-05	2.68E-05	3.28E-05	1.20E-05	2.59E-05
x10010002     	1997.2	1.800E-05	2.58944E-05	3.18905E-05	3.25E-05	2.58E-05	3.16E-05	1.16E-05	2.49E-05
x10010002     	1901.8	2.790E-05	3.90638E-05	4.94588E-05	4.97E-05	3.89E-05	4.91E-05	1.74E-05	3.82E-05
x10010002     	1823	3.070E-05	5.59915E-05	7.28281E-05	7.21E-05	5.56E-05	7.22E-05	2.54E-05	5.54E-05
x10010002     	1844.1	2.910E-05	5.07411E-05	6.55034E-05	6.51E-05	5.04E-05	6.50E-05	2.28E-05	5.00E-05
x10010002     	1842.9	2.640E-05	5.10251E-05	6.58991E-05	6.55E-05	5.07E-05	6.54E-05	2.30E-05	5.03E-05
x10010002     	1720.4	6.940E-05	9.30037E-05	0.000125352	1.21E-04	9.18E-05	1.22E-04	4.47E-05	9.25E-05
x10010002     	1638.9	1.363E-04	0.000146389	0.000201178	1.87E-04	1.43E-04	1.90E-04	7.43E-05	1.44E-04
x10010002     	1582.7	1.871E-04	0.000208979	0.000287634	2.56E-04	2.01E-04	2.61E-04	1.09E-04	2.02E-04
x10010002     	1573	1.594E-04	0.000223304	0.000307007	2.71E-04	2.14E-04	2.76E-04	1.17E-04	2.14E-04
x10010002     	1526.8	1.815E-04	0.00031368	0.000426305	3.58E-04	2.95E-04	3.65E-04	1.64E-04	2.91E-04
x10010002     	1530.4	2.766E-04	0.000304995	0.000415033	3.50E-04	2.87E-04	3.57E-04	1.59E-04	2.84E-04
x10010002     	1470.7	4.284E-04	0.000505192	0.000669344	5.14E-04	4.58E-04	5.27E-04	2.57E-04	4.43E-04
x10010002     	1423.3	7.429E-04	0.000804583	0.00104343	7.20E-04	6.99E-04	7.43E-04	3.95E-04	6.63E-04
x10010002     	1404.4	7.438E-04	0.000984595	0.00127088	8.31E-04	8.38E-04	8.61E-04	4.75E-04	7.91E-04
x10010003     	1484.4	1.767E-03	0.0025901	0.00253017	2.41E-03	2.16E-03	1.84E-03	4.01E-04	1.58E-03
x10010003     	1515.5	8.927E-04	0.00175207	0.00175692	1.80E-03	1.53E-03	1.38E-03	3.03E-04	1.17E-03
x10010003     	1572.8	5.531E-04	0.000932064	0.000968228	1.08E-03	8.59E-04	8.32E-04	1.88E-04	7.07E-04
x10010003     	1587.6	4.495E-04	0.000804691	0.000841326	9.51E-04	7.49E-04	7.34E-04	1.67E-04	6.25E-04
x10010003     	1625.3	3.396E-04	0.000566838	0.000600307	6.96E-04	5.38E-04	5.40E-04	1.26E-04	4.61E-04
x10010003     	1708.6	2.051E-04	0.000286903	0.000309183	3.67E-04	2.79E-04	2.88E-04	7.11E-05	2.48E-04
x10010003     	1735.6	1.928E-04	0.000234943	0.000254193	3.02E-04	2.30E-04	2.39E-04	6.01E-05	2.06E-04
x10010003     	1764.4	1.454E-04	0.000191561	0.000208048	2.47E-04	1.88E-04	1.96E-04	5.06E-05	1.69E-04
x10010003     	1804.2	1.001E-04	0.000146439	0.000159782	1.89E-04	1.44E-04	1.52E-04	4.04E-05	1.31E-04
x10010003     	1848.5	9.360E-05	0.000110355	0.000120974	1.43E-04	1.09E-04	1.16E-04	3.20E-05	9.90E-05
x10010003     	1978.4	3.730E-05	5.21775E-05	5.78529E-05	6.81E-05	5.19E-05	5.64E-05	1.76E-05	4.70E-05
x10010003     	2053.6	3.090E-05	3.54051E-05	3.94559E-05	4.63E-05	3.53E-05	3.90E-05	1.31E-05	3.18E-05
x10010003     	2098.4	2.010E-05	2.84926E-05	3.18374E-05	3.73E-05	2.84E-05	3.18E-05	1.11E-05	2.55E-05
x10010004     	2048.722724	5.947E-05	0.000105117	0.000116523	1.43E-04	1.05E-04	1.29E-04	5.41E-05	1.01E-04
x10010004     	2030.390891	9.012E-05	0.00011532	0.000127822	1.57E-04	1.15E-04	1.41E-04	5.75E-05	1.10E-04
x10010004     	1976.808088	8.976E-05	0.000153077	0.000170791	2.08E-04	1.53E-04	1.82E-04	6.94E-05	1.46E-04
x10010004     	1838.390746	2.080E-04	0.000355336	0.000394546	4.61E-04	3.53E-04	3.78E-04	1.23E-04	3.29E-04
x10010004     	1818.019849	1.950E-04	0.000407324	0.000451117	5.25E-04	4.04E-04	4.25E-04	1.35E-04	3.75E-04
x10010004     	1787.642386	2.390E-04	0.000502433	0.000553888	6.40E-04	4.98E-04	5.11E-04	1.58E-04	4.59E-04
x10010004     	1698.179212	3.470E-04	0.000975897	0.00105754	1.21E-03	9.61E-04	9.16E-04	2.70E-04	8.63E-04
x10010004     	1667.147361	5.491E-04	0.00125154	0.00134532	1.55E-03	1.23E-03	1.14E-03	3.33E-04	1.09E-03
x10010004     	1644.033801	5.375E-04	0.00151717	0.00161943	1.87E-03	1.49E-03	1.36E-03	3.93E-04	1.30E-03
x10010004     	1557.879912	1.245E-03	0.00332455	0.00342189	3.96E-03	3.20E-03	2.76E-03	7.87E-04	2.66E-03
x10010014     	1564	1.132E-03	1.11E-03	1.01E-03	9.87E-04	1.02E-03	8.16E-04	2.51E-04	6.46E-04
x10010014     	1593	8.200E-04	7.83E-04	7.46E-04	7.45E-04	7.41E-04	6.25E-04	1.90E-04	5.03E-04
x10010014     	1625	5.600E-04	5.55E-04	5.47E-04	5.52E-04	5.34E-04	4.75E-04	1.43E-04	3.86E-04
x10010014     	1652	4.600E-04	4.22E-04	4.25E-04	4.30E-04	4.09E-04	3.79E-04	1.14E-04	3.08E-04
x10010014     	1717	3.290E-04	2.30E-04	2.41E-04	2.40E-04	2.26E-04	2.28E-04	6.90E-05	1.83E-04
x10010014     	1771	2.230E-04	1.48E-04	1.58E-04	1.55E-04	1.46E-04	1.57E-04	4.86E-05	1.24E-04
x10010014     	1832	1.410E-04	9.42E-05	1.02E-04	9.80E-05	9.34E-05	1.07E-04	3.44E-05	8.26E-05
